Total 1 configurations will be processed in 1 threads
parsing download/uni-short-btcusdc-1m.json
mapped_file::open: base=0x7f9116e00000
download/uni-short-btcusdc-1m.json: load 226081 elements
parsing took 0.132 sec
parsing download/uni-short-ethusdc-1m.json
mapped_file::open: base=0x7f9116e00000
download/uni-short-ethusdc-1m.json: load 226081 elements
parsing took 0.133 sec
parsing download/uni-short-ethbtc-1m.json
mapped_file::open: base=0x7f9116c00000
download/uni-short-ethbtc-1m.json: load 226081 elements
parsing took 0.130 sec
sorting took 0.177 sec
1.0000000000000000 93232.6346195622172672 3331.8023377815734420 
Using temp file '_tmp.31699' as interprocedural connect
mapped_file::open: base=0x7f9105400000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1736508835 6.0%	trades: 0	AMM: 93910.125, 3300.878	Target: 93700.421, 3273.629	Vol: 3718298.3036	PR:0.50	xCP-growth: {1.0004201555}	APY:1.6%	fee:0.410% .
t=1736519075 6.1%	trades: 0	AMM: 94327.691, 3259.844	Target: 93914.114, 3262.306	Vol: 4176264.3134	PR:0.50	xCP-growth: {1.0004506460}	APY:1.7%	fee:0.259% .
t=1736529315 6.2%	trades: 0	AMM: 93459.104, 3248.142	Target: 93582.946, 3247.438	Vol: 5022885.3852	PR:0.50	xCP-growth: {1.0004863456}	APY:1.8%	fee:0.123% .
t=1736539555 6.3%	trades: 0	AMM: 95220.374, 3287.956	Target: 93929.308, 3263.787	Vol: 5215436.9937	PR:0.50	xCP-growth: {1.0005009113}	APY:1.9%	fee:0.374% .
t=1736549795 6.3%	trades: 0	AMM: 94899.882, 3268.991	Target: 94228.727, 3270.404	Vol: 5291987.7521	PR:0.50	xCP-growth: {1.0005035263}	APY:1.9%	fee:0.227% .
t=1736560035 6.4%	trades: 0	AMM: 94302.847, 3249.101	Target: 94386.757, 3268.077	Vol: 5366650.0597	PR:0.50	xCP-growth: {1.0005058425}	APY:1.8%	fee:0.299% .
t=1736570275 6.5%	trades: 0	AMM: 94144.598, 3245.044	Target: 94378.366, 3266.222	Vol: 5387830.0564	PR:0.50	xCP-growth: {1.0005081119}	APY:1.8%	fee:0.339% .
t=1736580515 6.6%	trades: 0	AMM: 94144.598, 3245.044	Target: 94378.366, 3266.222	Vol: 5387830.0564	PR:0.50	xCP-growth: {1.0005081119}	APY:1.8%	fee:0.339% .
t=1736590755 6.6%	trades: 0	AMM: 94144.598, 3234.971	Target: 94378.366, 3266.222	Vol: 5394395.8137	PR:0.50	xCP-growth: {1.0005093775}	APY:1.8%	fee:0.383% .
t=1736600995 6.7%	trades: 0	AMM: 94319.488, 3266.864	Target: 94319.404, 3264.991	Vol: 5535854.6259	PR:0.50	xCP-growth: {1.0005145978}	APY:1.8%	fee:0.129% .
t=1736611235 6.8%	trades: 0	AMM: 94327.710, 3271.208	Target: 94327.167, 3267.917	Vol: 5722958.2227	PR:0.50	xCP-growth: {1.0005188250}	APY:1.8%	fee:0.125% .
t=1736621475 6.9%	trades: 0	AMM: 94096.649, 3266.252	Target: 94096.872, 3262.054	Vol: 5879767.0556	PR:0.50	xCP-growth: {1.0005233117}	APY:1.8%	fee:0.167% .
t=1736631715 6.9%	trades: 0	AMM: 94348.507, 3301.982	Target: 94101.323, 3271.503	Vol: 5985616.1686	PR:0.50	xCP-growth: {1.0005283615}	APY:1.8%	fee:0.374% .
t=1736641955 7.0%	trades: 0	AMM: 94348.507, 3285.479	Target: 94148.140, 3275.059	Vol: 6014136.9751	PR:0.50	xCP-growth: {1.0005296753}	APY:1.8%	fee:0.197% .
t=1736652195 7.1%	trades: 0	AMM: 94295.432, 3277.960	Target: 94259.379, 3280.737	Vol: 6088550.6879	PR:0.50	xCP-growth: {1.0005318433}	APY:1.8%	fee:0.138% .
t=1736662435 7.2%	trades: 0	AMM: 94295.432, 3280.773	Target: 94269.150, 3279.877	Vol: 6105316.1911	PR:0.50	xCP-growth: {1.0005324034}	APY:1.7%	fee:0.115% .
t=1736672675 7.2%	trades: 0	AMM: 94294.413, 3250.205	Target: 94293.014, 3274.686	Vol: 6189538.7990	PR:0.50	xCP-growth: {1.0005368565}	APY:1.7%	fee:0.334% .
t=1736682915 7.3%	trades: 0	AMM: 94294.413, 3243.069	Target: 94293.014, 3274.686	Vol: 6197920.3769	PR:0.50	xCP-growth: {1.0005384368}	APY:1.7%	fee:0.389% .
t=1736693155 7.4%	trades: 0	AMM: 94471.294, 3269.654	Target: 94347.353, 3265.563	Vol: 6306078.9769	PR:0.50	xCP-growth: {1.0005429320}	APY:1.7%	fee:0.168% .
t=1736703395 7.5%	trades: 0	AMM: 94743.976, 3281.248	Target: 94398.871, 3268.600	Vol: 6334139.1769	PR:0.50	xCP-growth: {1.0005451970}	APY:1.7%	fee:0.281% .
t=1736713635 7.5%	trades: 0	AMM: 94570.803, 3286.727	Target: 94503.261, 3273.844	Vol: 6390635.0035	PR:0.50	xCP-growth: {1.0005473499}	APY:1.7%	fee:0.110% .
