Total 1 configurations will be processed in 1 threads
parsing download/binance-short-btcusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-btcusdt-1m-processed.json: load 226080 elements
parsing took 0.104 sec
parsing download/binance-short-ethusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-ethusdt-1m-processed.json: load 226080 elements
parsing took 0.103 sec
parsing download/binance-short-ethbtc-1m-processed.json
mapped_file::open: base=0x7f469de00000
download/binance-short-ethbtc-1m-processed.json: load 226080 elements
parsing took 0.103 sec
sorting took 0.173 sec
1.0000000000000000 93488.8399999999965075 3340.0399999999999636 
Using temp file '_tmp.31465' as interprocedural connect
mapped_file::open: base=0x7f4664e00000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1736167255 3.5%	trades: 0	AMM: 98861.960, 3651.996	Target: 96433.786, 3487.623	Vol: 2539229.7278	PR:0.52	xCP-growth: {1.0001486293}	APY:1.0%	fee:0.974% .
t=1736177495 3.6%	trades: 0	AMM: 100847.633, 3651.996	Target: 96927.426, 3519.151	Vol: 2625832.3866	PR:0.52	xCP-growth: {1.0001716540}	APY:1.1%	fee:1.006% .
t=1736187735 3.7%	trades: 0	AMM: 101401.942, 3685.613	Target: 97705.469, 3551.391	Vol: 2682313.9949	PR:0.50	xCP-growth: {1.0001779073}	APY:1.1%	fee:0.903% .
t=1736197975 3.8%	trades: 0	AMM: 101371.331, 3685.613	Target: 97705.469, 3551.391	Vol: 2688075.3949	PR:0.51	xCP-growth: {1.0001804044}	APY:1.1%	fee:0.919% .
t=1736208215 3.8%	trades: 0	AMM: 101371.331, 3685.613	Target: 97705.469, 3551.391	Vol: 2698124.6121	PR:0.51	xCP-growth: {1.0001847634}	APY:1.1%	fee:0.920% .
t=1736218455 3.9%	trades: 0	AMM: 101779.803, 3685.613	Target: 97705.469, 3551.391	Vol: 2708235.6121	PR:0.52	xCP-growth: {1.0001892769}	APY:1.1%	fee:0.948% .
t=1736228695 4.0%	trades: 0	AMM: 101779.803, 3685.613	Target: 97705.469, 3551.391	Vol: 2708235.6121	PR:0.52	xCP-growth: {1.0001892769}	APY:1.1%	fee:0.948% .
t=1736238935 4.1%	trades: 0	AMM: 101779.803, 3685.613	Target: 97705.469, 3551.391	Vol: 2708235.6121	PR:0.52	xCP-growth: {1.0001892769}	APY:1.1%	fee:0.948% .
t=1736249175 4.2%	trades: 0	AMM: 101779.803, 3685.613	Target: 97705.469, 3551.391	Vol: 2708235.6121	PR:0.52	xCP-growth: {1.0001892769}	APY:1.1%	fee:0.948% .
t=1736259415 4.2%	trades: 0	AMM: 101779.803, 3655.715	Target: 98112.902, 3565.052	Vol: 2739854.5641	PR:0.51	xCP-growth: {1.0001925202}	APY:1.1%	fee:0.799% .
t=1736269655 4.3%	trades: 0	AMM: 97291.053, 3472.318	Target: 98436.814, 3526.929	Vol: 3207209.0808	PR:0.50	xCP-growth: {1.0002598809}	APY:1.4%	fee:0.509% .
t=1736279895 4.4%	trades: 0	AMM: 97326.496, 3401.932	Target: 98236.718, 3511.702	Vol: 3282140.2662	PR:0.51	xCP-growth: {1.0002758266}	APY:1.5%	fee:0.781% .
t=1736290135 4.5%	trades: 0	AMM: 97326.496, 3390.908	Target: 98145.696, 3501.871	Vol: 3306103.5878	PR:0.51	xCP-growth: {1.0002795725}	APY:1.5%	fee:0.813% .
t=1736300375 4.5%	trades: 0	AMM: 97326.496, 3390.908	Target: 98145.696, 3501.871	Vol: 3306103.5878	PR:0.51	xCP-growth: {1.0002795725}	APY:1.4%	fee:0.813% .
t=1736310615 4.6%	trades: 0	AMM: 97326.496, 3370.098	Target: 98063.776, 3491.637	Vol: 3319669.0696	PR:0.50	xCP-growth: {1.0002792909}	APY:1.4%	fee:0.829% .
