Total 1 configurations will be processed in 1 threads
parsing download/binance-short-btcusdt-1m-processed.json
mapped_file::open: base=0x7f09fdc00000
download/binance-short-btcusdt-1m-processed.json: load 226080 elements
parsing took 0.107 sec
parsing download/binance-short-ethusdt-1m-processed.json
mapped_file::open: base=0x7f09fde00000
download/binance-short-ethusdt-1m-processed.json: load 226080 elements
parsing took 0.103 sec
parsing download/binance-short-ethbtc-1m-processed.json
mapped_file::open: base=0x7f09f9800000
download/binance-short-ethbtc-1m-processed.json: load 226080 elements
parsing took 0.107 sec
sorting took 0.177 sec
1.0000000000000000 93488.8399999999965075 3340.0399999999999636 
Using temp file '_tmp.31481' as interprocedural connect
mapped_file::open: base=0x7f09c4200000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1736607575 6.8%	trades: 0	AMM: 94568.067, 3278.088	Target: 94415.102, 3269.775	Vol: 26778550.1397	PR:0.50	xCP-growth: {1.0004361975}	APY:1.5%	fee:0.044% *
t=1736617815 6.9%	trades: 0	AMM: 94127.247, 3266.776	Target: 94456.936, 3270.863	Vol: 27183969.1934	PR:0.50	xCP-growth: {1.0004397776}	APY:1.5%	fee:0.049% *
t=1736628055 6.9%	trades: 0	AMM: 94432.834, 3284.983	Target: 94323.219, 3269.576	Vol: 27329881.7368	PR:0.50	xCP-growth: {1.0004416122}	APY:1.5%	fee:0.053% *
t=1736638295 7.0%	trades: 0	AMM: 94677.096, 3291.973	Target: 94356.671, 3273.548	Vol: 27430539.3980	PR:0.50	xCP-growth: {1.0004433755}	APY:1.5%	fee:0.053% *
t=1736648535 7.1%	trades: 0	AMM: 94433.988, 3283.819	Target: 94356.671, 3273.548	Vol: 27497398.8958	PR:0.50	xCP-growth: {1.0004448228}	APY:1.5%	fee:0.045% *
t=1736658775 7.2%	trades: 0	AMM: 94568.472, 3281.622	Target: 94468.147, 3278.671	Vol: 27569402.4453	PR:0.50	xCP-growth: {1.0004443683}	APY:1.5%	fee:0.039% *
t=1736669015 7.2%	trades: 0	AMM: 94386.017, 3269.919	Target: 94468.147, 3278.671	Vol: 27698762.1379	PR:0.50	xCP-growth: {1.0004469013}	APY:1.4%	fee:0.044% *
t=1736679255 7.3%	trades: 0	AMM: 93815.884, 3240.063	Target: 94426.187, 3274.079	Vol: 27786291.6811	PR:0.50	xCP-growth: {1.0004480278}	APY:1.4%	fee:0.068% *
t=1736689495 7.4%	trades: 0	AMM: 94653.592, 3258.333	Target: 94396.181, 3269.892	Vol: 27907551.6830	PR:0.50	xCP-growth: {1.0004495324}	APY:1.4%	fee:0.050% *
t=1736699735 7.5%	trades: 0	AMM: 95038.003, 3278.688	Target: 94533.022, 3269.082	Vol: 28106557.8338	PR:0.50	xCP-growth: {1.0004526267}	APY:1.4%	fee:0.050% *
t=1736709975 7.5%	trades: 0	AMM: 94772.164, 3284.193	Target: 94670.138, 3271.725	Vol: 28190815.8071	PR:0.50	xCP-growth: {1.0004528909}	APY:1.4%	fee:0.041% *
t=1736720215 7.6%	trades: 0	AMM: 94265.004, 3245.908	Target: 94641.306, 3274.423	Vol: 28485022.2522	PR:0.50	xCP-growth: {1.0004566527}	APY:1.4%	fee:0.066% *
t=1736730455 7.7%	trades: 0	AMM: 95253.222, 3297.038	Target: 94655.900, 3275.913	Vol: 28882326.6468	PR:0.50	xCP-growth: {1.0004624088}	APY:1.4%	fee:0.056% *
t=1736740695 7.8%	trades: 0	AMM: 94101.430, 3244.831	Target: 94549.979, 3270.506	Vol: 29351101.0368	PR:0.50	xCP-growth: {1.0004681166}	APY:1.4%	fee:0.060% *
t=1736750935 7.9%	trades: 1	AMM: 93521.127, 3185.786	Target: 94444.996, 3257.048	Vol: 29559295.4050	PR:0.50	xCP-growth: {1.0004713910}	APY:1.4%	fee:0.099% .
t=1736761175 7.9%	trades: 0	AMM: 92941.881, 3165.916	Target: 94159.520, 3237.998	Vol: 29823816.9463	PR:0.50	xCP-growth: {1.0004809688}	APY:1.4%	fee:0.109% .
t=1736771415 8.0%	trades: 0	AMM: 90898.739, 3065.855	Target: 93238.620, 3187.480	Vol: 30158320.9849	PR:0.50	xCP-growth: {1.0004942503}	APY:1.4%	fee:0.163% *
